127.0.0.1 - - [30/Jul/2017:15:08:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jul/2017:15:08:25 +0530] "GET /College/ HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [30/Jul/2017:15:08:26 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [30/Jul/2017:15:08:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:41:36 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:42:05 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:42:12 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:42:12 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:51:46 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:51:46 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:51:48 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:52:06 +0530] "GET /College/register.jsp?admin_name=Admin&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:52:56 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [30/Jul/2017:16:52:56 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
