127.0.0.1 - - [23/Aug/2017:13:33:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:33:27 +0530] "GET /College/ HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:33:27 +0530] "GET /College/image/college-home-page.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:33:28 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:33:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:33:49 +0530] "GET /College/about.html HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:00 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:01 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:13 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:29 +0530] "GET /College/register.jsp?admin_name=admin&admin_password1=admin&admin_password2=admin HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:40 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:41 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:34:47 +0530] "GET /College/login.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:36:30 +0530] "GET /College/login.jsp HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:36:32 +0530] "GET /College/index.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:36:32 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:36:39 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:37:43 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2755
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:37:54 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2733
0:0:0:0:0:0:0:1 - - [23/Aug/2017:13:38:11 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2751
