127.0.0.1 - - [13/Sep/2017:22:46:18 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:46:23 +0530] "GET /College/ HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:46:24 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:46:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:46:29 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:51:14 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2772
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:53:43 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:54:24 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2897
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:56:15 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:58:45 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:59:32 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [13/Sep/2017:22:59:44 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:00:10 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:01:45 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:01:57 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:01:58 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:01:58 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:02:12 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:02:26 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:02:54 +0530] "GET /College/admin.jsp HTTP/1.1" 200 2997
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:03:06 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:03:15 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:03:29 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:03:38 +0530] "GET /College/admin.jsp HTTP/1.1" 200 3031
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:03:57 +0530] "GET /College/register.jsp?admin_name=a&admin_password1=Admin&admin_password2=Admin HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:04:08 +0530] "GET /College/index.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [13/Sep/2017:23:04:09 +0530] "GET /College/college-home-page.png HTTP/1.1" 404 1052
